player1,player2,similarity
Jan Oblak,Cristiano Ronaldo,0.7721078138280225
Zlatan Ibrahimović,Samir Handanovič,0.7724202865054615
Samir Handanovič,Zlatan Ibrahimović,0.7724202865054615
Andrea Barzagli,Thibaut Courtois,0.7725809499905674
Thibaut Courtois,Andrea Barzagli,0.7725809499905674
Samir Handanovič,Pierre-Emerick Aubameyang,0.7726501199638875
Pierre-Emerick Aubameyang,Samir Handanovič,0.7726501199638875
Laurent Koscielny,Samir Handanovič,0.7727067432952038
Samir Handanovič,Laurent Koscielny,0.7727067432952038
Gianluigi Buffon,Andrea Barzagli,0.7727479014523363
Andrea Barzagli,Gianluigi Buffon,0.7727479014523363
Samir Handanovič,Dries Mertens,0.7728639423840955
Dries Mertens,Samir Handanovič,0.7728639423840955
Lionel Messi,Bernd Leno,0.7731303821836604
Bernd Leno,Lionel Messi,0.7731303821836605
Petr Čech,Lionel Messi,0.7731743997584641
Lionel Messi,Petr Čech,0.7731743997584641
Stéphane Ruffier,Antoine Griezmann,0.7732040107803602
Antoine Griezmann,Stéphane Ruffier,0.7732040107803602
Andrea Barzagli,Keylor Navas,0.7732203289046894
Keylor Navas,Andrea Barzagli,0.7732203289046894
Jan Oblak,Leonardo Bonucci,0.7732988549263362
Leonardo Bonucci,Jan Oblak,0.7732988549263362
Neymar,Samir Handanovič,0.7733671924873452
Samir Handanovič,Neymar,0.7733671924873452
Juan Mata,Samir Handanovič,0.7737831779866805
Samir Handanovič,Juan Mata,0.7737831779866805
Eden Hazard,Jan Oblak,0.7738459001376217
Jan Oblak,Eden Hazard,0.7738459001376217
Jan Oblak,Sokratis,0.7742675762771816
Sokratis,Jan Oblak,0.7742675762771816
Antoine Griezmann,Bernd Leno,0.7743849568625323
Bernd Leno,Antoine Griezmann,0.7743849568625323
Petr Čech,Antoine Griezmann,0.774429045865566
Antoine Griezmann,Petr Čech,0.774429045865566
Stéphane Ruffier,Cristiano Ronaldo,0.7744318287255189
Cristiano Ronaldo,Stéphane Ruffier,0.7744318287255189
Jan Oblak,Romelu Lukaku,0.7744489986094106
Romelu Lukaku,Jan Oblak,0.7744489986094106
Thibaut Courtois,Giorgio Chiellini,0.7745932359741386
Giorgio Chiellini,Thibaut Courtois,0.7745932359741386
Marcelo,Samir Handanovič,0.7747505961044807
Samir Handanovič,Marcelo,0.7747505961044807
Gianluigi Buffon,Giorgio Chiellini,0.7747606222823614
Giorgio Chiellini,Gianluigi Buffon,0.7747606222823614
Samir Handanovič,Miranda,0.7748908103027519
Miranda,Samir Handanovič,0.7748908103027519
Franck Ribéry,Jan Oblak,0.7750006361842944
Jan Oblak,Franck Ribéry,0.7750006361842944
Alexandre Lacazette,Samir Handanovič,0.7751181900427445
Samir Handanovič,Alexandre Lacazette,0.7751181900427445
Keylor Navas,Giorgio Chiellini,0.7752342802324904
Giorgio Chiellini,Keylor Navas,0.7752342802324904
Cristiano Ronaldo,Bernd Leno,0.7756146501042126
Bernd Leno,Cristiano Ronaldo,0.7756146501042126
Arjen Robben,Jan Oblak,0.775625933716484
Jan Oblak,Arjen Robben,0.775625933716484
Stéphane Ruffier,Leonardo Bonucci,0.7756264548118438
Leonardo Bonucci,Stéphane Ruffier,0.7756264548118438
Petr Čech,Cristiano Ronaldo,0.7756588091188711
Cristiano Ronaldo,Petr Čech,0.7756588091188712
Jérôme Boateng,Samir Handanovič,0.7757358093746978
Samir Handanovič,Jérôme Boateng,0.7757358093746979
Vincent Kompany,Samir Handanovič,0.7758154419673006
Samir Handanovič,Vincent Kompany,0.7758154419673006
