Club,Club_Position
FC Barcelona,Sub
Chelsea,Sub
Hertha BSC,LCB
Arsenal,RB
Bor. M'gladbach,Sub
Ajax,RCM
AS Monaco,LS
VfL Wolfsburg,Sub
PSG,LB
FC Barcelona,RM
Inter,LCB
Fiorentina,Sub
AS Monaco,RB
Real Madrid,Sub
Fiorentina,Sub
Bayer 04,CAM
Napoli,Sub
Celta Vigo,CAM
FC Barcelona,Sub
Crystal Palace,LM
Southampton,ST
VfL Wolfsburg,Sub
Bor. M'gladbach,RM
Sporting CP,RCB
Beşiktaş,LDM
Shakhtar Donetsk,LCB
Manchester Utd,Sub
West Ham,Sub
Juventus,Sub
Celta Vigo,RB
VfL Wolfsburg,RAM
OGC Nice,LW
1899 Hoffenheim,GK
CSKA Moscow,RB
Villarreal CF,LM
FC Porto,RM
Olym. Lyonnais,RCM
PSG,Sub
VfL Wolfsburg,LAM
SL Benfica,RM
Roma,Sub
Torino,RW
FC Augsburg,GK
Bor. M'gladbach,Sub
Arsenal,LDM
Bor. Dortmund,Sub
Montpellier HSC,CAM
Sevilla FC,Sub
FC Krasnodar,ST
FC Rostov,LCM
Juventus,Sub
Leicester City,Sub
Arsenal,LM
Leicester City,RCM
Manchester City,Sub
Manchester Utd,Sub
Bor. M'gladbach,Res
Roma,Sub
West Ham,Sub
Werder Bremen,LS
SL Benfica,RS
Watford,Sub
Sevilla FC,ST
Fenerbahçe,RM
Zenit,RCB
Inter,Sub
Real Madrid,Sub
Arsenal,LB
Spartak Moscow,Sub
Celta Vigo,Sub
West Ham,Sub
West Ham,LCB
Liverpool,Sub
UD Las Palmas,ST
PSV,LCB
Inter,LB
Celta Vigo,LCM
FC Schalke 04,Res
PSV,CDM
Villarreal CF,Sub
Southampton,LB
SL Benfica,Sub
CA Osasuna,GK
Crystal Palace,LCM
Lokomotiv Moscow,LB
Lazio,RB
Celta Vigo,RCB
Milan,RCB
Swansea City,GK
West Brom,GK
Hertha BSC,ST
FC Krasnodar,RCB
FC Porto,Sub
CSKA Moscow,GK
San Lorenzo,RCM
Shakhtar Donetsk,GK
Bologna,GK
Lazio,GK
Liverpool,LB
Spurs,Sub
FC Augsburg,LDM
Beşiktaş,RDM
Fenerbahçe,RDM
Chicago Fire,LCM
Hamburger SV,GK
Giron. Bordeaux,CDM
Everton,RCB
Chievo Verona,GK
Fenerbahçe,Sub
Everton,Sub
Roma,Sub
Milan,GK
SL Benfica,RB
RC Deportivo,ST
Lazio,LCM
Al Ahli,ST
Real Betis,Sub
SL Benfica,LCB
RB Leipzig,RDM
AS Monaco,LDM
Bor. M'gladbach,LDM
Sporting CP,Sub
SL Benfica,Sub
SD Eibar,LDM
SL Benfica,Sub
Atlético Madrid,Sub
Bor. M'gladbach,RCB
FC Schalke 04,RDM
FC Krasnodar,GK
Liverpool,Sub
FC Schalke 04,Sub
Valencia CF,LB
Torino,RCM
SC Braga,CAM
Napoli,RB
Valencia CF,Sub
Milan,LCB
Napoli,RCM
Roma,RM
OGC Nice,Sub
FC Porto,CM
Hamburger SV,LM
Liverpool,Sub
Bor. Dortmund,Sub
Sevilla FC,Sub
Athletic Bilbao,GK
VfL Wolfsburg,CAM
OGC Nice,Sub
Villarreal CF,Sub
Medipol Başakşehir,RM
Shakhtar Donetsk,Sub
Torino,LCM
Napoli,Sub
FC Bayern,Sub
Atlético Madrid,Sub
Feyenoord,RCB
Manchester City,RCB
Bor. M'gladbach,LCB
Valencia CF,ST
Olym. Lyonnais,Sub
Spartak Moscow,RDM
Olym. Lyonnais,LW
UD Las Palmas,LM
PSG,RB
Spurs,RCB
Swansea City,RCB
Villarreal CF,Sub
Middlesbrough,Sub
Napoli,LB
Arsenal,Sub
Hertha BSC,CAM
Southampton,RB
Napoli,Sub
FC Lorient,GK
FC Barcelona,Sub
FC Barcelona,Sub
Spurs,Sub
UD Las Palmas,RCM
RC Deportivo,CAM
FC Porto,Sub
Southampton,LW
Real Madrid,Sub
Sevilla FC,RM
Arsenal,RDM
1. FC Köln,RDM
SD Eibar,LCB
Stoke City,Sub
Sounders FC,RM
FC Schalke 04,Sub
VfL Wolfsburg,RCB
Real Sociedad,ST
Sunderland,Res
Málaga CF,RM
Free Agents,Res
Toulouse FC,LAM
Villarreal CF,LB
AS Saint-Étienne,RM
Sevilla FC,LB
Chelsea,LWB
FC Schalke 04,Sub
Sounders FC,RDM
Milan,RCM
PSV,GK
Real Sociedad,CM
Torino,LW
Valencia CF,LCB
Real Sociedad,Sub
Athletic Bilbao,LB
Olym. Lyonnais,Sub
1899 Hoffenheim,CM
Rubin Kazan,ST
Bayer 04,LCB
West Ham,CAM
Spurs,RCM
Hull City,RCM
Olym. Lyonnais,Sub
Medipol Başakşehir,GK
FC Basel,ST
